"signo","precio","metraje","unidad","hab","parq","precio2","precio3"
"
$",375000,190,"m2",3,2,2,375000
"
$",395000,247,"m2",3,2,2,395000
"
Q",601000,64.81,"m2",3,1,2,601000
"
$",181287,89.49,"m2",3,1,2,181287
"
$",139900,47,"m2",1,1,2,139900
"
$",24000,118,"m2",2,2,2,24000
"
$",232000,189,"m2",3,2,2,232000
"
Q",850000,100,"m2",3,1,2,850000
"
Q",9e+05,114,"m2",3,2,2,9e+05
"
$",215000,116,"m2",2,2,2,215000
"
$",150000,82,"m2",2,1,2,150000
"
Q",775000,77,"m2",3,2,2,775000
"
Q",590000,125,"m2",4,2,2,590000
"
$",1820002,93,"m2",2,2,2,1820002
"
$",586400,308,"m2",2,2,2,586400
"
$",185000,85,"m2",1,2,2,185000
"
$",199000,91,"m2",3,2,2,199000
"
$",206000,112,"m2",3,2,2,206000
"
$",242100,121,"m2",2,2,2,242100
"
$",260135,134,"m2",2,2,2,260135
"
$",157830,71,"m2",3,2,2,157830
"
$",120525,56,"m2",2,2,2,120525
"
$",88170,37,"m2",1,1,2,88170
"
$",173000,88,"m2",3,1,2,173000
"
$",89225,39,"m2",1,1,2,89225
"
$",225000,114,"m2",2,2,2,225000
"
$",126135,95,"m2",2,2,2,126135
"
$",586400,308,"m2",2,3,2,586400
"
$",778800,406,"m2",3,3,2,778800
"
$",110335,105,"m2",2,1,2,110335
"
$",195000,110,"m2",2,2,2,195000
"
$",420000,204,"m2",3,3,2,420000
"
$",125860,88,"m2",3,1,2,125860
"
$",103040,60,"m2",2,1,2,103040
"
$",48280,20,"m2",1,1,2,48280
"
$",131026,72,"m2",2,1,2,131026
"
$",101720,38,"m2",1,1,2,101720
"
$",650000,384,"m2",3,3,2,650000
"
$",149000,92,"m2",2,2,2,149000
"
$",356010,155,"m2",2,2,2,356010
"
$",554405,244,"m2",3,3,2,554405
"
$",507435,249,"m2",3,3,2,507435
"
$",706920,362,"m2",3,4,2,706920
"
$",184795,63,"m2",3,1,2,184795
"
$",156230,51,"m2",2,1,2,156230
"
$",132720,36,"m2",1,1,2,132720
"
$",577805,271,"m2",3,3,2,577805
"
$",160000,70,"m2",2,2,2,160000
"
$",133090,79,"m2",1,2,2,133090
"
$",191830,105,"m2",2,2,2,191830
